plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_88_3633_11_2022_3_本科批,88_3633,88,3633,北京,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,1,四年,5800,,不限
plan_88_3663_11_2022_3_本科批,88_3663,88,3663,北京,2022,物流管理,本科(普通) (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,1,四年,5200,,不限
plan_88_1800351_11_2022_3_本科批,88_1800351,88,1800351,北京,2022,翻译,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5800,,不限
plan_88_3648_11_2022_3_本科批,88_3648,88,3648,北京,2022,交通工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,5800,,物理/化学(2选1)
plan_88_1129729_11_2022_3_本科批,88_1129729,88,1129729,北京,2022,无人驾驶航空器系统工程,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批,综合,2,四年,5800,,物理必选
plan_88_3624_11_2022_3_本科批,88_3624,88,3624,北京,2022,安全工程,本科(普通) (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3633_11_2022_3_本科批,88_3633,88,3633,北京,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,综合,1,四年,5800,,不限
plan_88_3637_11_2022_3_本科批,88_3637,88,3637,北京,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3649_11_2022_3_本科批,88_3649,88,3649,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3650_11_2022_3_本科批,88_3650,88,3650,北京,2022,材料化学,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3652_11_2022_3_本科批,88_3652,88,3652,北京,2022,信息与计算科学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3663_11_2022_3_本科批,88_3663,88,3663,北京,2022,物流管理,本科(普通) (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,1,四年,5200,,不限
plan_88_1800350_11_2022_3_本科批,88_1800350,88,1800350,北京,2022,思想政治教育,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科批,综合,1,四年,5200,,思想政治必选
plan_88_1800351_11_2022_3_本科批,88_1800351,88,1800351,北京,2022,翻译,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,1,四年,5800,,不限
plan_88_1129729_11_2022_3_本科批,88_1129729,88,1129729,北京,2022,无人驾驶航空器系统工程,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批,综合,2,四年,5800,,物理必选
plan_88_3624_11_2022_3_本科批,88_3624,88,3624,北京,2022,安全工程,本科(普通) (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3637_11_2022_3_本科批,88_3637,88,3637,北京,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3649_11_2022_3_本科批,88_3649,88,3649,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3650_11_2022_3_本科批,88_3650,88,3650,北京,2022,材料化学,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3652_11_2022_3_本科批,88_3652,88,3652,北京,2022,信息与计算科学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,1,四年,5800,,物理必选
plan_88_3648_11_2022_3_本科批,88_3648,88,3648,北京,2022,交通工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,2,四年,5800,,物理/化学(2选1)
plan_88_1800350_11_2022_3_本科批,88_1800350,88,1800350,北京,2022,思想政治教育,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科批,综合,1,四年,5200,,思想政治必选
plan_88_3668_11_2022_3_本科提前批A段,88_3668,88,3668,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,45,4,5800,（国航）,物理/化学(2选1)
plan_88_3668_11_2022_3_本科提前批A段,88_3668,88,3668,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,25,4,5800,（东航）,物理/化学(2选1)
plan_88_3668_11_2022_3_本科提前批A段,88_3668,88,3668,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,5,4,5800,（南航）,物理/化学(2选1)
plan_88_3668_11_2022_3_本科提前批A段,88_3668,88,3668,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,45,4,5800,（国航）,物理/化学(2选1)
plan_88_3668_11_2022_3_本科提前批A段,88_3668,88,3668,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,25,4,5800,（东航）,物理/化学(2选1)
plan_88_3668_11_2022_3_本科提前批A段,88_3668,88,3668,北京,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,5,4,5800,（南航）,物理/化学(2选1)
plan_88_3668_12_2022_3_本科提前批A段,88_3668,88,3668,天津,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,30,4,5800,"（本校）（需提前面试、体检、背景调查,合格后方可填报;限民航大学招飞合格填报）（宁河校区）",物理/化学(2选1)
plan_88_3668_12_2022_3_本科提前批A段,88_3668,88,3668,天津,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,50,4,5800,"（国航）（需提前面试、体检、背景调查,合格后方可填报;限国航招飞合格填报）（宁河校区）",物理/化学(2选1)
plan_88_3668_12_2022_3_本科提前批A段,88_3668,88,3668,天津,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,30,4,5800,"（本校）（需提前面试、体检、背景调查,合格后方可填报;限民航大学招飞合格填报）（宁河校区）",物理/化学(2选1)
plan_88_3668_12_2022_3_本科提前批A段,88_3668,88,3668,天津,2022,飞行技术,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科提前批A段,综合,50,4,5800,"（国航）（需提前面试、体检、背景调查,合格后方可填报;限国航招飞合格填报）（宁河校区）",物理/化学(2选1)
plan_88_102228_12_2022_3_专科提前批,88_102228,88,102228,天津,2022,空中乘务,专科(高职) (2),交通运输大类 (24),航空运输类 (178),普通类,专科提前批,综合,2,3,10000,"（只招女生,需提前面试、体检,合格后方可填报）（宁河校区）",不限
plan_88_102229_12_2022_3_专科提前批,88_102229,88,102229,天津,2022,民航空中安全保卫,专科(高职) (2),交通运输大类 (24),航空运输类 (178),普通类,专科提前批,综合,2,3,10000,"（只招男生,需提前面试、体检,合格后方可填报）（宁河校区）",不限
plan_88_102228_12_2022_3_专科提前批,88_102228,88,102228,天津,2022,空中乘务,专科(高职) (2),交通运输大类 (24),航空运输类 (178),普通类,专科提前批,综合,2,3,10000,"（只招女生,需提前面试、体检,合格后方可填报）（宁河校区）",不限
plan_88_102229_12_2022_3_专科提前批,88_102229,88,102229,天津,2022,民航空中安全保卫,专科(高职) (2),交通运输大类 (24),航空运输类 (178),普通类,专科提前批,综合,2,3,10000,"（只招男生,需提前面试、体检,合格后方可填报）（宁河校区）",不限
plan_88_3626_13_2022_2074_本科批,88_3626,88,3626,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,2,四年,5200,,
plan_88_3633_13_2022_2074_本科批,88_3633,88,3633,河北,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,历史类,1,四年,5800,,
plan_88_3648_13_2022_2074_本科批,88_3648,88,3648,河北,2022,交通工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,历史类,1,四年,5800,,
plan_88_1800350_13_2022_2074_本科批,88_1800350,88,1800350,河北,2022,思想政治教育,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科批,历史类,1,四年,5200,,
plan_88_1800351_13_2022_2074_本科批,88_1800351,88,1800351,河北,2022,翻译,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,1,四年,5800,,
plan_88_3651_13_2022_2073_本科批,88_3651,88,3651,河北,2022,材料物理,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,5,四年,5800,,
plan_88_3663_13_2022_2073_本科批,88_3663,88,3663,河北,2022,物流管理,本科(普通) (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,5,四年,5200,,
plan_88_3649_13_2022_2073_本科批,88_3649,88,3649,河北,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,物理类,4,四年,5800,,
plan_88_1129729_13_2022_2073_本科批,88_1129729,88,1129729,河北,2022,无人驾驶航空器系统工程,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批,物理类,4,四年,5800,,
