plan_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,num,length,tuition,info,sg_info
plan_46_1132_11_2022_3_本科提前批A段,46_1132,46,1132,北京,2022,中国共产党历史,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,1,4,5000,,思想政治必选
plan_46_1030463_11_2022_3_本科提前批A段,46_1030463,46,1030463,北京,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,1,4,5000,,思想政治必选
plan_46_1132_11_2022_3_本科提前批A段,46_1132,46,1132,北京,2022,中国共产党历史,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,1,4,5000,,思想政治必选
plan_46_1030463_11_2022_3_本科提前批A段,46_1030463,46,1030463,北京,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,1,4,5000,,思想政治必选
plan_46_1132_12_2022_3_本科提前批A段,46_1132,46,1132,天津,2022,中国共产党历史,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,1,4,5000,"（含跨校主辅修项目）（含学院优秀本科生直博项目,与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目）（中国人民大学）",思想政治必选
plan_46_1132_12_2022_3_本科提前批A段,46_1132,46,1132,天津,2022,中国共产党历史,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,综合,1,4,5000,"（含跨校主辅修项目）（含学院优秀本科生直博项目,与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目）（中国人民大学）",思想政治必选
plan_46_1202_13_2022_2073_本科提前批C段,46_1202,46,1202,河北,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科提前批C段,物理类,1,4,5000,（含4加1本硕国际项目）（高校专项计划）,
plan_46_1030463_13_2022_2074_本科提前批A段,46_1030463,46,1030463,河北,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,历史类,2,4,5000,（含跨校主辅修项目）（含学院优秀本科生直博项目，与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目）,
plan_46_1132_13_2022_2074_本科提前批A段,46_1132,46,1132,河北,2022,中国共产党历史,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批A段,历史类,1,4,5000,（含跨校主辅修项目）（含学院优秀本科生直博项目，与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目）,
plan_46_1122_21_2022_2074_本科批,46_1122,46,1122,辽宁,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,3,四年,5000,"（含双学士学位项目）基地,法学－新闻学、工商管理－法学2个双学士学位培养项目,哈佛大学、鲁汶大学、莱顿大学、新加坡国立大学等校免学费交换项目,“亚洲校园”项目（中日韩三国政府奖学金支持）、中欧欧洲法国际组织后备人才培养项目（国家留基委资助）等）",
plan_46_1132_21_2022_2074_本科提前批,46_1132,46,1132,辽宁,2022,中国共产党历史,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,1,4,5000,（含跨校主辅修项目）（含学院优秀本科生直博项目，与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目）,
plan_46_1132_23_2022_2_本科提前批,46_1132,46,1132,黑龙江,2022,中国共产党历史,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,文科,1,4,5000,(含跨校主辅修项目，含学院优秀本科生直博项目，与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目)(该校在省普通本科一批录取控制分数线上招生。),
plan_46_1122_32_2022_2074_本科批,46_1122,46,1122,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,4,四年,5000,,首选历史，再选不限
plan_46_1202_32_2022_2074_本科批,46_1202,46,1202,江苏,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,5000,,首选历史，再选不限
plan_46_1122_32_2022_2074_本科批,46_1122,46,1122,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,4,四年,5000,,首选历史，再选不限
plan_46_1136_32_2022_2074_本科批,46_1136,46,1136,江苏,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,历史类,2,四年,5000,,首选历史，再选思想政治
plan_46_1202_32_2022_2074_本科批,46_1202,46,1202,江苏,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,2,四年,5000,,首选历史，再选不限
plan_46_1136_32_2022_2074_本科批,46_1136,46,1136,江苏,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,历史类,2,四年,5000,,首选历史，再选思想政治
plan_46_1122_32_2022_2073_本科批,46_1122,46,1122,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,5000,,首选物理，再选不限
plan_46_1122_32_2022_2073_本科批,46_1122,46,1122,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,2,四年,5000,,首选物理，再选不限
plan_46_1030463_32_2022_2074_本科提前批,46_1030463,46,1030463,江苏,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,2,4,5000,,首选历史，再选思想政治
plan_46_1030463_32_2022_2074_本科提前批,46_1030463,46,1030463,江苏,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,2,4,5000,,首选历史，再选思想政治
plan_46_1202_33_2022_3_普通类平行录取,46_1202,46,1202,浙江,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,普通类平行录取,综合,5,四年,5000,,
plan_46_1030463_33_2022_3_普通类提前批,46_1030463,46,1030463,浙江,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,普通类提前批,综合,2,4,5000,（一流大学建设高校）（北京）,
plan_46_1132_34_2022_2_本科提前一批,46_1132,46,1132,安徽,2022,中国共产党历史,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前一批,文科,2,-,5000,"（含跨校主辅修项目）（含学院优秀本科生直博项目,与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目）（其他提前批院校）",
plan_46_1030463_35_2022_2074_本科提前批,46_1030463,46,1030463,福建,2022,马克思主义理论,本科(普通) (1),法学 (5),马克思主义理论类 (43),普通类,本科提前批,历史类,2,4,5000,（含跨校主辅修项目）（含学院优秀本科生直博项目，与北京外国语大学英语学院合作建立“21世纪马克思主义对外传播人才”跨校主辅修项目。）（其他类）,首选历史，再选思想政治
