school_id,school,level_name,type_name,school_nature_name,f985,f211,dual_class_name,recommend_master_level(保研星级),num_doctor(博士点),num_master(硕士点),num_subject(国家重点学科),province_name(省份),city_name(城市),town_name(区县),address(学校地址),email(电子邮箱),phone(招生电话),site(官方网址),motto(校训),content(简介),ruanke_rank(软科综合排名),xyh_rank(校友会综合排名),qs_world(QS世界排名),us_rank(US世界排名),tws_china(泰晤士大陆排名)
130,上海财经大学,本科,财经类,公办,2,1,双一流,3,10,15,6,上海,上海市,杨浦区,上海市杨浦区国定路777号,zb@mail.shufe.edu.cn,021-65904372,"https://zs.sufe.edu.cn/, https://www.sufe.edu.cn/",厚德博学，经济匡时,上海财经大学源于1917年南京高等师范学校创办的商科，著名社会活动家、爱国民主人士杨杏佛任商科主任。1921年，随着以南京高等师范学校为基础建设国立东南大学计划的实施，商科扩充改组并迁址上海，成立国立东南大学分设上海商科大学，这是中国教育史上最早的商科大学，著名教育家郭秉文任校长，著名经济学家马寅初任教务主任。1932年独立建校，定名为国立上海商,35,53,1201-1400,784,0
129,延边大学,本科,综合类,公办,2,1,双一流,2,10,31,1,吉林,延边朝鲜族自治州,延吉市,"延吉校区：吉林省延边朝鲜族自治州延吉市公园街道园校社区公园路977号,珲春校区：吉林省延边朝鲜族自治州珲春市靖和街道龙泉社区站前大街5588号,师范分院校区：吉林省延边朝鲜族自治州延吉市新兴街道民和社区参花街2855号,科学技术学院校区：吉林省延边朝鲜族自治州延吉市北山街道丹春社区朝阳街3458号",ydzb@ybu.edu.cn,0433-2732477,"https://zsb.ybu.edu.cn/, https://www.ybu.edu.cn/",,延边大学（YanbianUniversity）始建于1949年，是中国共产党较早在少数民族地区建立的高校之一，坐落在享有“教育之乡”美誉的吉林省延边朝鲜族自治州的延吉市和珲春市，是国家“双一流”建设高校、国家“211工程”重点建设大学、西部开发重点建设院校、吉林省人民政府和教育部共同重点支持建设大学、吉林省人民政府和国家民委共同支持建设大学。学校秉承“求真、至善,165,211,0,2111,0
128,武汉理工大学,本科,理工类,公办,2,1,双一流,2.5,22,44,5,湖北,武汉市,洪山区,"马房山校区：湖北省武汉市洪山区珞狮路122号,余家头校区:湖北省武汉市武昌区和平大道1178号,南湖校区：湖北省武汉市洪山区岭南路附近",zhaosheng@whut.edu.cn,"027-87859017,027-87858399","https://zs.whut.edu.cn, https://www.whut.edu.cn/",厚德博学、追求卓越,武汉理工大学是教育部直属全国重点大学，是首批列入国家“211工程”和“双一流”建设高校，是教育部和交通运输部等部委共建高校。学校办学历史起源于1898年建立的湖北工艺学堂，办学126年特别是近70年来，学校共培养了近70万名高级专门人才，是教育部直属高校中为建材建工、交通、汽车三大行业培养人才规模最大的学校，是我国“三大行业”高层次人才培养和科技创新,52,35,801-850,300,0
127,华中科技大学,本科,综合类,公办,1,1,双一流,4.5,46,48,29,湖北,武汉市,洪山区,"主校区：湖北省武汉市洪山区珞喻路1037号,同济校区：湖北省武汉市汉口航空路13号",zs@hust.edu.cn,"027-87542228,027-87559946","https://zsb.hust.edu.cn/, https://www.hust.edu.cn/",明德厚学、求是创新,华中科技大学是国家教育部直属重点综合性大学，由原华中理工大学、同济医科大学、武汉城市建设学院于2000年5月26日合并成立，是国家“211工程”重点建设和“985工程”建设高校之一，是首批“双一流”建设高校。学校校园占地7000余亩，园内树木葱茏，碧草如茵，环境优雅，景色秀丽，绿化覆盖率72%，被誉为“森林式大学”。学校教学科研支撑体系完备，各项公共服务设施,8,7,300,100,9
126,山东大学,本科,综合类,公办,1,1,双一流,4,49,54,0,山东,济南市,历城区,"校本部：山东省济南市历城区山大南路27号,青岛校区：山东省青岛市即墨滨海路72号,威海校区：山东省威海市文化西路180号",sdbkzs@email.sdu.edu.cn,0531-59626977,"https://www.bkzs.sdu.edu.cn/, https://www.sdu.edu.cn/",学无止境，气有浩然,山东大学是一所历史悠久、学科齐全、实力雄厚、特色鲜明的教育部直属重点综合性大学，在国内外具有重要影响，1997年进入国家“211工程”建设序列，2001年被确定为国家“985工程”重点建设的高水平研究型大学，2017年迈入世界一流大学建设高校行列。山东大学前身是1901年创办的山东大学堂，被誉为中国近代高等教育起源性大学。其医学学科起源于1864年，开启近代中国高等,22,15,316,292,0
125,上海交通大学,本科,综合类,公办,1,1,双一流,5,51,56,18,上海,上海市,闵行区,上海市闵行区东川路800号,zsb@sjtu.edu.cn,"021-34200000,021-34207255","https://admissions.sjtu.edu.cn, https://www.sjtu.edu.cn/",饮水思源，爱国荣校,上海交通大学是我国历史最悠久、享誉海内外的高等学府之一，是教育部直属并与上海市共建的全国重点大学。经过120多年的不懈努力，上海交通大学已经建设成为一所“综合性、创新型、国际化”的国内一流、国际知名大学。十九世纪末，甲午战败，民族危难。中国近代著名实业家、教育家盛宣怀秉持“自强首在储才，储才必先兴学”的信念，于1896年在上海创办了交通大学,4,5,45,54,3
124,哈尔滨工程大学,本科,理工类,公办,2,1,双一流,3.5,15,32,2,黑龙江,哈尔滨市,南岗区,黑龙江省哈尔滨市南岗区南通大街145号,zhaoban@hrbeu.edu.cn,0451-82519740,"https://zsb.hrbeu.edu.cn/, http://www.hrbeu.edu.cn/",,哈尔滨工程大学源自1953年创办的中国人民解放军军事工程学院（哈军工），陈赓大将为首任院长，毛泽东主席为学院颁发《训词》，1959年被中共中央确定为全国重点大学。1966年退出军队序列更名为哈尔滨工程学院。1970年在哈军工原址以海军工程系为主体组建哈尔滨船舶工程学院（哈船院），1978年被国务院确定为全国重点大学。1994年更名为哈尔滨工程大学（哈工程）。学校,45,60,1001-1200,779,52
123,中南大学,本科,综合类,公办,1,1,双一流,3,43,47,6,湖南,长沙市,,湖南省长沙市麓山南路932号,admis@csu.edu.cn,0731-88830995,"https://zhaosheng.csu.edu.cn/, https://www.csu.edu.cn/",知行合一、经世致用,中南大学坐落在中国历史文化名城——湖南省长沙市，占地面积317万平方米。跨湘江两岸，依巍巍岳麓，临滔滔湘水，环境幽雅，景色宜人，是求知治学的理想园地。学校设有31个二级学院，拥有享“南湘雅”美誉的湘雅医院、湘雅二医院、湘雅三医院3所大型三级甲等综合性医院及湘雅口腔医院，和湘雅医学院附属海口医院、附属肿瘤医院、附属儿童医院、附属长沙医院、附,25,27,431,168,0
122,吉林大学,本科,综合类,公办,1,1,双一流,3,49,7,35,吉林,长春市,朝阳区,"前卫南区：吉林省长春市前进大街2699号,前卫北区：吉林省长春市解放大路2519号,新民校区：长春市新民大街828号,朝阳校区：长春市西民主大街6号,南湖校区：长春市南湖大路5372号/和平校区：长春市西安大路5333号",bkzs@jlu.edu.cn,"0431-85166420,0431-85166226","https://zsb.jlu.edu.cn, https://www.jlu.edu.cn/",求实创新 励志图强,吉林大学是教育部直属的全国重点综合性大学，坐落在吉林省长春市。学校始建于1946年，1960年被列为国家重点大学，1984年成为首批建立研究生院的22所大学之一，是国家“211工程”“985工程”和首批“双一流”大学建设高校。学校始终秉持“求实创新、励志图强”的校训，坚持以“学术立校、人才强校、创新兴校、开放活校、文化荣校”为发展战略，努力建设成为在国家和区,26,25,497,344,0
121,中国地质大学（武汉）,本科,理工类,公办,2,1,双一流,3,19,34,2,湖北,武汉市,洪山区,湖北省武汉市洪山区鲁磨路388号,zhaoban@cug.edu.cn,"027-67848570,027-67883687","https://zhaosheng.cug.edu.cn/, https://www.cug.edu.cn/",,"中国地质大学是教育部直属全国重点大学,是国家批准设立研究生院的大学，是国家“211工程”、国家“双一流”建设高校。中国地质大学位于武汉东湖之畔，南望山麓，学校以地球科学为主要特色，学科涵盖理学、工学、文学、管理学、经济学、法学、教育学、艺术学等门类，地质学、地质资源与地质工程2个一级学科入选“双一流”建设学科。国际交流学校积极开展对外学术",61,75,771-780,221,0
